filename,relative_path,size_bytes,file_type,basic_integrity_check,status,notes
CPI_October2025.zip,nbs/cpi/CPI_October2025.zip,1420086,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: CPI_October2025.pdf | cpi_1New_October25.xlsx
CPI_Report_FEBRUARY_2026.zip,nbs/cpi/CPI_Report_FEBRUARY_2026.zip,2326610,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: CPI_Report_FEBRUARY_2026.pdf | cpi_1New_February2026.xlsx
CPI_Report_January_2026.zip,nbs/cpi/CPI_Report_January_2026.zip,2254091,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: CPI_Report_January_2026.pdf | cpi_January2026.xlsx
CPI_Report_March_2026.zip,nbs/cpi/CPI_Report_March_2026.zip,2091112,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: March_2026/cpi_1New_March2026.xls | March_2026/CPI_MARCH_2026.pdf
CPI_September_2025.zip,nbs/cpi/CPI_September_2025.zip,1274070,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: CPI_September_2025.pdf | cpi_1New_September25.xlsx
CPI_february_2025.pdf,nbs/cpi/CPI_february_2025.pdf,1133866,PDF,"PDF header OK, %%EOF present",PASS,
Highlights of CPI Rebasing Result.pdf,nbs/cpi/Highlights of CPI Rebasing Result.pdf,297144,PDF,"PDF header OK, %%EOF present",PASS,
July_2025_CPI_Report.zip,nbs/cpi/July_2025_CPI_Report.zip,1280677,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: cpi_1New_JuLY25.xlsx | July 2025 CPI report.pdf
cpi_1New_Apr25.xlsx,nbs/cpi/cpi_1New_Apr25.xlsx,226810,XLSX,"OOXML container opened read-only, 45 parts",PASS,
cpi_1New_Feb_2025.xlsx,nbs/cpi/cpi_1New_Feb_2025.xlsx,181738,XLSX,"OOXML container opened read-only, 35 parts",PASS,
cpi_1New_June25.xlsx,nbs/cpi/cpi_1New_June25.xlsx,231862,XLSX,"OOXML container opened read-only, 45 parts",PASS,
cpi_1New_Mar25.xlsx,nbs/cpi/cpi_1New_Mar25.xlsx,162400,XLSX,"OOXML container opened read-only, 31 parts",PASS,
cpi_1New_May25.xlsx,nbs/cpi/cpi_1New_May25.xlsx,227913,XLSX,"OOXML container opened read-only, 45 parts",PASS,
AEDC-MYTO-APR-2025.pdf,nerc/electricity_myto/AEDC-MYTO-APR-2025.pdf,1184179,PDF,"PDF header OK, %%EOF present",PASS,
