source_organisation,dataset,period_start,period_end,release_title,original_filename,file_type,official_source_url,download_url,download_status,contains_excel,contains_pdf,months_covered,notes
NBS,NBS AGO (Diesel) Price Watch,2025-02,2025-02,AGO February 2025 Tables,AGO_FEB_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1170,DOWNLOADED,YES,NO,2025-02,
NBS,NBS AGO (Diesel) Price Watch,2025-03,2025-03,AGO Report March 2025,AGO_Report_MARCH_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1200,DOWNLOADED,NO,YES,2025-03,
NBS,NBS AGO (Diesel) Price Watch,2025-03,2025-03,AGO March 2025 Tables,Diesel Report March 2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1201,DOWNLOADED,YES,NO,2025-03,
NBS,NBS AGO (Diesel) Price Watch,2025-04,2025-04,AGO Report April 2025,AGO_Report_April_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1216,DOWNLOADED,NO,YES,2025-04,
NBS,NBS AGO (Diesel) Price Watch,2025-04,2025-04,AGO April 2025 Tables,Diesel_Report_April_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1217,DOWNLOADED,YES,NO,2025-04,
NBS,NBS AGO (Diesel) Price Watch,2025-05,2025-05,AGO Report May 2025,AGO_Report_MAY_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1249,DOWNLOADED,NO,YES,2025-05,
NBS,NBS AGO (Diesel) Price Watch,2025-05,2025-05,AGO May 2025 Tables,Diesel_Report_May_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1248,DOWNLOADED,YES,NO,2025-05,
NBS,NBS AGO (Diesel) Price Watch,2025-06,2025-06,AGO Report June 2025,AGO_Report_JUNE_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1262,DOWNLOADED,NO,YES,2025-06,
NBS,NBS AGO (Diesel) Price Watch,2025-06,2025-06,AGO June 2025 Tables,Diesel_Report_June_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1263,DOWNLOADED,YES,NO,2025-06,
NBS,NBS AGO (Diesel) Price Watch,2025-07,2025-07,AGO Report July 2025,AGO_Report_JULY_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1278,DOWNLOADED,YES,YES,2025-07,archive members: AGO_Report_JULY_2025.pdf | Diesel_Report_July_2025.xlsx
NBS,NBS AGO (Diesel) Price Watch,2025-08,2025-09,AGO Report August-September 2025,AGO_Report_AUGUST_SEPTEMBER_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1359,DOWNLOADED,YES,YES,2025-08;2025-09,COMBINED RELEASE covering 2 months in one official file; archive members: AGO_Report_SEPTEMBER_2025.pdf | AGO_Report_AUGUST_2025.pdf | DIESEL_SEPTEMBER_2025.xlsx | DIESEL_AUGUST_2025.xlsx
NBS,NBS AGO (Diesel) Price Watch,2025-10,2025-10,AGO Report October 2025,AGO_Report_OCTOBER_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1315,DOWNLOADED,YES,YES,2025-10,archive members: AGO_Report_OCTOBER_2025.pdf | AGO_OCT_2025.xlsx
