source_organisation,dataset,period_start,period_end,release_title,original_filename,file_type,official_source_url,download_url,download_status,contains_excel,contains_pdf,months_covered,notes
NBS,NBS LPG (Cooking Gas) Price Watch,2025-02,2025-02,LPG February 2025 Tables,GAS_PRICE_WATCH_FEB_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1174,DOWNLOADED,YES,NO,2025-02,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-03,2025-03,LPG Report March 2025,LPG_Report_March_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1222,DOWNLOADED,NO,YES,2025-03,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-03,2025-03,LPG March 2025 Tables,GAS_PRICE_WATCH_MARCH_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1223,DOWNLOADED,YES,NO,2025-03,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-04,2025-04,LPG Report April 2025,LPG_Report_April_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1224,DOWNLOADED,NO,YES,2025-04,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-04,2025-04,LPG April 2025 Tables,GAS_PRICE_WATCH_APRIL_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1225,DOWNLOADED,YES,NO,2025-04,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-05,2025-05,LPG Report May 2025,LPG_Report_MAY_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1253,DOWNLOADED,NO,YES,2025-05,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-05,2025-05,LPG May 2025 Tables,GAS_PRICE_WATCH_May_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1252,DOWNLOADED,YES,NO,2025-05,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-06,2025-06,LPG Report June 2025,LPG_June_2025_Report.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1266,DOWNLOADED,NO,YES,2025-06,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-06,2025-06,LPG June 2025 Tables,GAS_PRIC_WATCH_JUNE_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1267,DOWNLOADED,YES,NO,2025-06,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-07,2025-07,LPG Report July 2025,LPG_July_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1280,DOWNLOADED,YES,YES,2025-07,archive members: LPG_Report_Price_Watch_July_2025.pdf | GAS_PRICE_WATCH_JULY_2025.xlsx
NBS,NBS LPG (Cooking Gas) Price Watch,2025-08,2025-08,LPG Report August 2025,LPG_AUGUST_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1289,DOWNLOADED,YES,YES,2025-08,archive members: LPG_AUGUST_2025.pdf | GAS_PRICE_WATCH_AUGUST_2025___.xlsx
NBS,NBS LPG (Cooking Gas) Price Watch,2025-09,2025-09,LPG Report September 2025,LPG_Report_Sept_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1306,DOWNLOADED,YES,YES,2025-09,archive members: LPG_Report_Sept_2025.pdf | GAS_PRICE_WATCH_SEPTEMBER_2025.xlsx
