release_month,observation_month,geography_type,geography_name,geography_raw_label,state,zone,is_aggregate,price_ngn_per_litre,unit,source_period_label,is_primary_release,source_anomaly,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2026-03-01,2025-03-01,STATE,Ondo,Ondo,Ondo,South West,FALSE,1099.6581629,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,44,2,B44
2026-03-01,2025-03-01,STATE,Osun,Osun,Osun,South West,FALSE,980,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,45,2,B45
2026-03-01,2025-03-01,STATE,Oyo,Oyo,Oyo,South West,FALSE,982,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,46,2,B46
2026-03-01,2025-03-01,STATE,Plateau,Plateau,Plateau,North Central,FALSE,1450.79818627383,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,47,2,B47
2026-03-01,2025-03-01,STATE,Rivers,Rivers,Rivers,South South,FALSE,1175.54422222222,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,48,2,B48
2026-03-01,2025-03-01,STATE,Sokoto,Sokoto,Sokoto,North West,FALSE,1550,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,49,2,B49
2026-03-01,2025-03-01,STATE,Taraba,Taraba,Taraba,North East,FALSE,1353.95333333333,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,50,2,B50
2026-03-01,2025-03-01,STATE,Yobe,Yobe,Yobe,North East,FALSE,1114.114375,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,51,2,B51
2026-03-01,2025-03-01,STATE,Zamfara,Zamfara,Zamfara,North West,FALSE,1200.63185714286,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,52,2,B52
2026-03-01,2025-03-01,NATIONAL,Nigeria,AVERAGE,,,TRUE,1261.6457672081458,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,53,2,B53
2026-03-01,2026-02-01,STATE,Abia,Abia,Abia,South East,FALSE,1095.1941456475688,NGN per litre,2026-02-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,16,3,C16
2026-03-01,2026-02-01,STATE,Abuja,Abuja,Abuja,North Central,FALSE,1006.32984760697,NGN per litre,2026-02-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,17,3,C17
2026-03-01,2026-02-01,STATE,Adamawa,Adamawa,Adamawa,North East,FALSE,1096.6324641309066,NGN per litre,2026-02-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,18,3,C18
2026-03-01,2026-02-01,STATE,Akwa Ibom,Akwa Ibom,Akwa Ibom,South South,FALSE,1109.4363411565614,NGN per litre,2026-02-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,19,3,C19
2026-03-01,2026-02-01,STATE,Anambra,Anambra,Anambra,South East,FALSE,1077.5079924242414,NGN per litre,2026-02-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,20,3,C20
