state_id,state_name,zone_name,observation_month,metric_code,metric_value,unit,in_primary_release_window,v_year_ago,fare_yoy_pct,cpi_yoy_pct,gap_pp
18,Jigawa,North West,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,980.9985,NGN per journey,False,598.0762,64.0257,15.1752,48.8505
18,Jigawa,North West,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1264.61,NGN per journey,False,1232.223,2.6283,15.1752,-12.5469
18,Jigawa,North West,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,960.6109,NGN per journey,True,590.1817,62.7653,7.0387,55.7266
18,Jigawa,North West,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1256.4888,NGN per journey,True,1155.762,8.7152,7.0387,1.6765
19,Kaduna,North West,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1370.3333,NGN per journey,True,960.0,42.7431,11.4067,31.3364
19,Kaduna,North West,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,956.0,NGN per journey,True,650.0,47.0769,11.4067,35.6702
19,Kaduna,North West,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1660.5,NGN per journey,True,700.0,137.2143,10.3795,126.8348
19,Kaduna,North West,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1467.144,NGN per journey,True,1050.0,39.728,10.3795,29.3485
19,Kaduna,North West,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1720.756,NGN per journey,False,801.0292,114.8181,19.6007,95.2174
19,Kaduna,North West,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1576.04,NGN per journey,False,1231.5437,27.9727,19.6007,8.372
19,Kaduna,North West,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1690.9077,NGN per journey,True,753.5456,124.3935,7.2342,117.1594
19,Kaduna,North West,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1527.9499,NGN per journey,True,1131.059,35.0902,7.2342,27.856
20,Kano,North West,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,891.4279,NGN per journey,True,600.0,48.5713,13.9401,34.6312
20,Kano,North West,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,945.1776,NGN per journey,True,650.0,45.4119,13.9401,31.4718
20,Kano,North West,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1007.4051,NGN per journey,True,700.0,43.915,9.8531,34.0619
20,Kano,North West,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1046.3144,NGN per journey,True,680.0,53.8698,9.8531,44.0166
20,Kano,North West,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1053.1798,NGN per journey,False,786.5077,33.9059,17.1366,16.7693
20,Kano,North West,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1066.0026,NGN per journey,False,734.3037,45.1719,17.1366,28.0353
20,Kano,North West,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1007.9851,NGN per journey,True,730.0,38.0802,12.1569,25.9233
20,Kano,North West,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1048.8844,NGN per journey,True,700.0,49.8406,12.1569,37.6838
21,Katsina,North West,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1148.8175,NGN per journey,True,950.0,20.9282,8.9397,11.9885
21,Katsina,North West,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,827.3443,NGN per journey,True,436.4444,89.5646,8.9397,80.625
21,Katsina,North West,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,953.1479,NGN per journey,True,500.0,90.6296,11.8607,78.7689
21,Katsina,North West,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1398.1539,NGN per journey,True,980.0,42.6688,11.8607,30.808
21,Katsina,North West,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,998.1896,NGN per journey,False,636.5639,56.809,14.0319,42.7771
21,Katsina,North West,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1466.7579,NGN per journey,False,976.5639,50.1958,14.0319,36.1639
21,Katsina,North West,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,977.1655,NGN per journey,True,550.0,77.6665,13.5976,64.0688
21,Katsina,North West,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1448.3895,NGN per journey,True,960.158,50.8491,13.5976,37.2514
22,Kebbi,North West,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,955.3913,NGN per journey,True,930.0,2.7302,16.1943,-13.4641
